Hallmark,Gene,Full_Name,Primary_Pathway/Function
Sustained Growth Signals,EGFR,Epidermal Growth Factor Receptor,RTK signaling
Sustained Growth Signals,KRAS,Kirsten Rat Sarcoma Viral Oncogene Homolog,RAS/MAPK signaling
Sustained Growth Signals,BRAF,B-Raf Proto-Oncogene,MAPK signaling
Sustained Growth Signals,PIK3CA,Phosphatidylinositol-4,PI3K/AKT pathway
Sustained Growth Signals,AKT1,AKT Serine/Threonine Kinase 1,PI3K/AKT pathway
Sustained Growth Signals,MYC,MYC Proto-Oncogene,Transcription factor (cell proliferation)
Evading Growth Suppressors,TP53,Tumor Protein p53,DNA damage response/apoptosis
Evading Growth Suppressors,RB1,Retinoblastoma Protein,Cell cycle regulation (G1/S checkpoint)
Evading Growth Suppressors,CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,CDK inhibition/cell cycle control
Evading Growth Suppressors,PTEN,Phosphatase and Tensin Homolog,Negative regulator of PI3K/AKT
Evading Growth Suppressors,SMAD4,SMAD Family Member 4,TGF-beta signaling
Evading Growth Suppressors,APC,Adenomatous Polyposis Coli,Wnt/beta-catenin signaling